# B(mT)	 U (V)	 std (V)	 direction 	 loop 
529.9840	-0.2786	0.0025	-1.0000	1.0000
525.0050	-0.2788	0.0022	-1.0000	1.0000
520.0124	-0.2796	0.0023	-1.0000	1.0000
514.9148	-0.2801	0.0022	-1.0000	1.0000
510.0160	-0.2806	0.0024	-1.0000	1.0000
504.9724	-0.2812	0.0025	-1.0000	1.0000
499.9108	-0.2815	0.0021	-1.0000	1.0000
495.0020	-0.2821	0.0022	-1.0000	1.0000
490.0404	-0.2828	0.0024	-1.0000	1.0000
485.0068	-0.2833	0.0022	-1.0000	1.0000
480.0148	-0.2834	0.0024	-1.0000	1.0000
475.0644	-0.2839	0.0022	-1.0000	1.0000
470.0720	-0.2844	0.0021	-1.0000	1.0000
465.0488	-0.2851	0.0022	-1.0000	1.0000
460.0528	-0.2855	0.0022	-1.0000	1.0000
455.0712	-0.2859	0.0024	-1.0000	1.0000
450.0554	-0.2862	0.0022	-1.0000	1.0000
445.0270	-0.2865	0.0025	-1.0000	1.0000
439.9902	-0.2871	0.0023	-1.0000	1.0000
434.9514	-0.2873	0.0023	-1.0000	1.0000
430.0844	-0.2881	0.0024	-1.0000	1.0000
425.0196	-0.2881	0.0023	-1.0000	1.0000
419.9164	-0.2887	0.0026	-1.0000	1.0000
415.0064	-0.2900	0.0021	-1.0000	1.0000
409.9200	-0.2895	0.0022	-1.0000	1.0000
405.0300	-0.2902	0.0024	-1.0000	1.0000
399.9600	-0.2901	0.0023	-1.0000	1.0000
395.0802	-0.2913	0.0022	-1.0000	1.0000
390.0852	-0.2915	0.0022	-1.0000	1.0000
385.0918	-0.2916	0.0023	-1.0000	1.0000
379.9386	-0.2919	0.0025	-1.0000	1.0000
374.9856	-0.2939	0.0022	-1.0000	1.0000
370.0556	-0.2930	0.0024	-1.0000	1.0000
364.9242	-0.2931	0.0022	-1.0000	1.0000
359.9592	-0.2940	0.0022	-1.0000	1.0000
354.9912	-0.2939	0.0022	-1.0000	1.0000
350.0012	-0.2940	0.0024	-1.0000	1.0000
345.0190	-0.2947	0.0025	-1.0000	1.0000
340.0940	-0.2952	0.0022	-1.0000	1.0000
334.9712	-0.2959	0.0023	-1.0000	1.0000
330.0412	-0.2963	0.0021	-1.0000	1.0000
324.9000	-0.2961	0.0023	-1.0000	1.0000
319.9000	-0.2968	0.0024	-1.0000	1.0000
314.9060	-0.2965	0.0023	-1.0000	1.0000
309.9360	-0.2978	0.0021	-1.0000	1.0000
304.9670	-0.2977	0.0023	-1.0000	1.0000
300.0020	-0.2979	0.0023	-1.0000	1.0000
295.0220	-0.2981	0.0022	-1.0000	1.0000
289.9820	-0.2985	0.0027	-1.0000	1.0000
284.9490	-0.2989	0.0022	-1.0000	1.0000
279.9440	-0.2995	0.0023	-1.0000	1.0000
274.9360	-0.2998	0.0022	-1.0000	1.0000
269.9160	-0.2999	0.0023	-1.0000	1.0000
264.9030	-0.3003	0.0023	-1.0000	1.0000
259.9180	-0.3001	0.0025	-1.0000	1.0000
254.9190	-0.2997	0.0021	-1.0000	1.0000
250.0662	-0.3003	0.0023	-1.0000	1.0000
245.0096	-0.3006	0.0023	-1.0000	1.0000
239.9446	-0.3005	0.0025	-1.0000	1.0000
235.0840	-0.3011	0.0024	-1.0000	1.0000
230.0340	-0.3006	0.0023	-1.0000	1.0000
224.9888	-0.3012	0.0024	-1.0000	1.0000
219.9788	-0.3011	0.0023	-1.0000	1.0000
214.9718	-0.3012	0.0025	-1.0000	1.0000
209.9868	-0.3006	0.0022	-1.0000	1.0000
205.0030	-0.3012	0.0024	-1.0000	1.0000
200.0280	-0.3007	0.0025	-1.0000	1.0000
195.0482	-0.3007	0.0023	-1.0000	1.0000
190.0332	-0.3007	0.0023	-1.0000	1.0000
185.0134	-0.3008	0.0023	-1.0000	1.0000
179.9584	-0.3003	0.0022	-1.0000	1.0000
174.9082	-0.2996	0.0023	-1.0000	1.0000
170.0938	-0.2992	0.0025	-1.0000	1.0000
165.0752	-0.2987	0.0023	-1.0000	1.0000
160.0152	-0.2975	0.0024	-1.0000	1.0000
154.9568	-0.2982	0.0025	-1.0000	1.0000
149.9168	-0.2973	0.0022	-1.0000	1.0000
145.0774	-0.2964	0.0022	-1.0000	1.0000
140.0124	-0.2953	0.0023	-1.0000	1.0000
134.9486	-0.2943	0.0022	-1.0000	1.0000
129.9136	-0.2914	0.0022	-1.0000	1.0000
125.0800	-0.2905	0.0025	-1.0000	1.0000
120.0700	-0.2872	0.0026	-1.0000	1.0000
115.0600	-0.2843	0.0022	-1.0000	1.0000
109.9400	-0.2809	0.0024	-1.0000	1.0000
105.0248	-0.2766	0.0022	-1.0000	1.0000
99.9672	-0.2713	0.0022	-1.0000	1.0000
94.9122	-0.2653	0.0020	-1.0000	1.0000
90.0502	-0.2592	0.0023	-1.0000	1.0000
84.9852	-0.2515	0.0022	-1.0000	1.0000
79.9294	-0.2440	0.0025	-1.0000	1.0000
75.0766	-0.2359	0.0023	-1.0000	1.0000
70.0480	-0.2270	0.0024	-1.0000	1.0000
65.0230	-0.2178	0.0023	-1.0000	1.0000
59.9628	-0.2082	0.0023	-1.0000	1.0000
55.1004	-0.1995	0.0023	-1.0000	1.0000
50.0354	-0.1888	0.0023	-1.0000	1.0000
44.9704	-0.1778	0.0023	-1.0000	1.0000
40.1000	-0.1683	0.0025	-1.0000	1.0000
35.0250	-0.1575	0.0024	-1.0000	1.0000
29.9820	-0.1472	0.0024	-1.0000	1.0000
24.9470	-0.1364	0.0024	-1.0000	1.0000
19.9000	-0.1246	0.0023	-1.0000	1.0000
15.0520	-0.1139	0.0022	-1.0000	1.0000
9.9868	-0.1032	0.0023	-1.0000	1.0000
4.9168	-0.0912	0.0021	-1.0000	1.0000
0.0856	-0.0800	0.0024	-1.0000	1.0000
-4.9344	-0.0684	0.0025	-1.0000	1.0000
-9.9796	-0.0571	0.0025	-1.0000	1.0000
-15.0346	-0.0461	0.0025	-1.0000	1.0000
