# B(mT)	 U (V)	 std (V)	 direction 	 loop 
285.0322	0.0514	0.0022	1.0000	1.0000
290.0748	0.0511	0.0022	1.0000	1.0000
294.9036	0.0510	0.0022	1.0000	1.0000
299.9324	0.0508	0.0025	1.0000	1.0000
304.9524	0.0506	0.0024	1.0000	1.0000
309.9706	0.0507	0.0024	1.0000	1.0000
314.9756	0.0498	0.0023	1.0000	1.0000
319.9806	0.0493	0.0023	1.0000	1.0000
324.9856	0.0491	0.0023	1.0000	1.0000
329.9894	0.0491	0.0023	1.0000	1.0000
334.9844	0.0486	0.0024	1.0000	1.0000
339.9788	0.0488	0.0022	1.0000	1.0000
344.9688	0.0488	0.0022	1.0000	1.0000
349.9504	0.0492	0.0022	1.0000	1.0000
355.0672	0.0494	0.0022	1.0000	1.0000
359.9928	0.0496	0.0020	1.0000	1.0000
364.9478	0.0493	0.0023	1.0000	1.0000
369.9036	0.0500	0.0024	1.0000	1.0000
375.0620	0.0502	0.0024	1.0000	1.0000
380.0190	0.0507	0.0021	1.0000	1.0000
384.9640	0.0504	0.0022	1.0000	1.0000
389.9080	0.0508	0.0023	1.0000	1.0000
395.0456	0.0509	0.0024	1.0000	1.0000
399.9868	0.0515	0.0022	1.0000	1.0000
404.9318	0.0514	0.0023	1.0000	1.0000
410.0704	0.0519	0.0022	1.0000	1.0000
415.0004	0.0516	0.0024	1.0000	1.0000
419.9248	0.0520	0.0023	1.0000	1.0000
425.0312	0.0518	0.0020	1.0000	1.0000
429.9460	0.0514	0.0025	1.0000	1.0000
435.0680	0.0513	0.0023	1.0000	1.0000
439.9840	0.0516	0.0023	1.0000	1.0000
445.0800	0.0513	0.0024	1.0000	1.0000
449.9680	0.0509	0.0022	1.0000	1.0000
455.0328	0.0507	0.0023	1.0000	1.0000
459.9072	0.0502	0.0022	1.0000	1.0000
464.9824	0.0502	0.0021	1.0000	1.0000
470.0498	0.0497	0.0022	1.0000	1.0000
474.9148	0.0497	0.0023	1.0000	1.0000
479.9296	0.0498	0.0022	1.0000	1.0000
484.9060	0.0499	0.0021	1.0000	1.0000
490.0636	0.0494	0.0021	1.0000	1.0000
495.0244	0.0498	0.0022	1.0000	1.0000
499.9852	0.0496	0.0025	1.0000	1.0000
504.9460	0.0494	0.0024	1.0000	1.0000
