# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-409.9722	-0.0066	0.0027	-1.0000	1.0000
-419.9600	-0.0060	0.0016	-1.0000	1.0000
-429.9626	-0.0064	0.0013	-1.0000	1.0000
-439.9604	-0.0073	0.0017	-1.0000	1.0000
-450.0280	-0.0090	0.0016	-1.0000	1.0000
-460.0760	-0.0094	0.0017	-1.0000	1.0000
-470.0040	-0.0102	0.0014	-1.0000	1.0000
-480.0108	-0.0110	0.0019	-1.0000	1.0000
-490.0614	-0.0124	0.0018	-1.0000	1.0000
-500.0032	-0.0121	0.0016	-1.0000	1.0000
-510.0820	-0.0121	0.0015	-1.0000	1.0000
-519.9652	-0.0125	0.0015	-1.0000	1.0000
-529.9752	-0.0135	0.0016	-1.0000	1.0000
-539.9540	-0.0143	0.0016	-1.0000	1.0000
-549.9380	-0.0184	0.0022	-1.0000	1.0000
-559.9400	-0.0176	0.0021	-1.0000	1.0000
-569.9506	-0.0170	0.0019	-1.0000	1.0000
-580.0456	-0.0165	0.0021	-1.0000	1.0000
-590.0764	-0.0166	0.0023	-1.0000	1.0000
-600.0208	-0.0170	0.0022	-1.0000	1.0000
